TLD,Domain_Age,special_char,HasSubmitButton,HasPasswordField,NoOfiFrame,NoOfJS,IsHTTPS,URLLength,HasTitle,HasObfuscation,NoOfURLRedirect,URLTitleMatchScore,label
org,12,0,0,0,0,3,1,21,1,0,0,100,1
br,11,0,0,0,0,5,1,35,1,0,0,0,1
com,25,0,1,0,2,29,1,25,1,0,0,100,1
com,17,0,0,0,2,9,1,24,1,0,0,77.77777778,1
org,18,0,1,0,9,8,1,25,1,0,0,0,1
co,14,0,0,0,9,10,1,25,1,0,0,0,1
lt,3,0,0,0,0,7,1,20,1,0,0,100,1
org,6,0,0,0,0,0,0,30,1,0,0,0,0
com,5,0,0,0,0,0,0,23,0,0,0,0,0
com,25,0,1,0,2,9,1,22,1,0,0,100,1
com,8,0,0,0,2,11,1,28,1,0,0,100,1
ca,18,0,1,0,2,29,1,34,1,0,0,0,1
com,13,0,0,0,2,10,1,23,1,0,0,100,1
com,18,3,0,0,0,0,1,92,0,1,0,1.298701299,0
com,13,0,1,0,3,20,1,34,1,0,0,100,1
com,7,0,1,1,0,16,1,26,1,0,0,100,1
com,27,0,1,0,2,16,1,26,1,0,0,100,1
com,11,0,0,0,0,0,0,51,0,0,0,0,0
org,21,0,1,0,1,14,1,27,1,0,0,100,1
com,24,0,1,1,22,49,1,19,1,0,0,100,1
com,14,0,1,0,0,11,1,31,1,0,0,100,1
com,11,0,0,0,0,0,1,34,1,0,0,0,0
sk,3,0,0,0,0,25,1,19,1,0,0,100,1
pl,10,0,0,0,0,20,1,25,1,0,0,0,1
dk,27,0,1,0,2,7,1,24,1,0,1,0,1
com,7,0,0,0,5,5,1,24,1,0,0,100,1
org,24,0,1,0,4,25,1,28,1,0,0,100,1
com,20,0,1,0,2,14,1,34,1,0,0,100,1
fr,15,0,1,0,0,17,1,27,1,0,0,0,1
com,13,0,0,0,3,10,1,40,1,0,0,0,1
com,11,0,0,0,0,0,1,42,1,0,0,0,0
com,27,0,0,0,0,8,1,18,1,0,0,100,1
com,18,0,1,0,2,16,1,30,1,0,0,100,1
edu,38,0,1,0,0,6,1,24,1,0,0,0,1
com,18,0,0,0,0,7,1,20,1,0,0,100,1
com,26,0,1,0,0,19,1,34,1,0,1,100,1
com,23,0,0,0,0,1,1,26,1,0,1,0,0
space,3,0,1,0,3,13,1,28,1,0,0,100,1
org,26,0,1,0,2,15,1,22,1,0,0,100,1
com,24,0,0,0,0,0,1,26,1,0,0,100,1
com,7,0,1,1,19,17,1,26,1,0,0,100,1
com,6,0,0,0,0,48,1,31,1,0,0,0,1
com,4,0,0,0,0,3,1,30,1,0,0,100,1
123,3,0,0,0,0,1,0,20,0,0,0,0,0
io,9,0,0,0,0,0,1,88,0,0,0,0,0
edu,36,0,1,0,5,14,1,22,1,0,0,0,1
com,4,0,0,0,0,0,0,21,0,0,0,0,0
com,5,0,1,0,19,32,1,24,1,0,0,100,1
com,16,0,1,1,0,11,1,20,1,0,1,100,1
com,11,0,0,0,0,0,0,45,0,0,0,0,0
com,15,0,0,0,0,5,1,30,1,0,0,0,1
com,20,0,0,0,2,5,1,34,1,0,0,100,1
rs,15,0,1,0,2,18,1,17,1,0,1,66.66666667,1
games,7,0,0,0,1,11,1,23,1,0,0,100,1
org,13,0,0,0,0,8,1,46,1,0,0,100,1
nl,23,0,0,0,1,2,1,25,1,0,0,100,1
com,9,0,1,0,2,22,1,35,1,0,0,100,1
com,16,0,1,1,12,9,1,35,1,0,1,0,1
net,20,0,0,0,1,76,1,30,1,0,0,100,1
com,23,0,0,0,0,0,1,43,1,0,1,0,0
edu,37,0,0,0,0,2,1,23,1,0,0,0,1
org,25,0,1,0,2,14,1,20,1,0,0,100,1
ua,19,0,1,0,0,2,1,24,1,0,0,100,1
br,15,0,1,0,3,13,1,32,1,0,1,0,1
id,10,0,0,0,0,11,1,29,1,0,0,0,1
com,17,0,1,0,3,25,1,22,1,0,1,71.42857143,1
mx,15,0,1,0,2,40,1,26,1,0,1,0,1
asia,15,0,1,0,1,22,1,22,1,0,0,100,1
ru,10,0,1,1,0,5,0,77,1,0,0,0,0
